"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"585381491116380161","","","2015-04-07 09:59:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","What if you modulate the file ever so slightly.  Introduce invisible, inaudible noise.  Is that still piracy?","","","",""
"585233547188920320","","2562446222","2015-04-07 00:12:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@myGovau:  ""The password you have entered is too secure.  Please enter a normal one with letters from the alphabet.""  #security","","","",""
"584960067532795904","","","2015-04-06 06:05:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Self currying:
f = function(a,b,c){
  return c ? 
  
    a + b + c : 
    
  f.bind.apply(f,[null].concat([].slice.apply(arguments)))
}
#js","","","",""
"584715388220416002","","","2015-04-05 13:53:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Apologies if obvious, I saw your custom Node REPL blog.  Another approach is to just pipe a script to node.

cat environment.js | node.js","","","",""
"584612742687924225","","","2015-04-05 07:05:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Great job encouraging Nazi protests @TonyAbbottMHR.  Keep up the great work.","","","",""
"584609395834617856","","","2015-04-05 06:51:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","This is my Dad @PartyCoffee","","","",""
"583816980605591552","","","2015-04-03 02:23:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Saving time:

keyNames = {}
window.onkeydown = function(e){
  keyNames[e.keyCode] = window.prompt(""What was the name of that key?"") 
}","","","",""
"583414111347740672","","","2015-04-01 23:42:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Its all just ceremony.","","","",""
"583414081287094272","","","2015-04-01 23:42:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I wish all the clauses didn't have their own arbitrary idiosyncrasies.  e.g. Update needs `set`, select has `from` insert needs `into`.","","","",""
"583413528419143681","","","2015-04-01 23:39:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I wish:
select name from tasks where id = 8;
update name = ""New Name"" from tasks where id = 8;
insert name = ""New Name"" from tasks;","","","",""
"582845091703853056","","","2015-03-31 10:01:13 +0000","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","I gave up Jesus for Lent.","","","",""
"581294201070964736","","","2015-03-27 03:18:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onboarding.  Not a word.  Don't use it.","","","",""
"580916790559055872","","","2015-03-26 02:18:50 +0000","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","There are no failed ideas.  Just futures that occurred and did not.","","","",""
"580873363087736832","","","2015-03-25 23:26:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cowbs: Engineers don't let engineers design user interfaces. http://t.co/XKSDUOxKHe","516045565847535616","63832659","2014-09-28 02:03:45 +0000","http://twitter.com/cowbs/status/516045565847535616/photo/1,http://twitter.com/cowbs/status/516045565847535616/photo/1"
